Date : 2022-02-13 21:09:16
Directory : d:\Documents\GitHub\ProjectManagementFrontend
Total : 63 files,  2307 codes, 305 comments, 265 blanks, all 2877 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\store\modules                                                                  |          4 |         84 |          7 |         15 |        106 |
| src\store\modules\app                                                              |          2 |         21 |          2 |          6 |         29 |
| src\store\modules\user                                                             |          2 |         63 |          5 |          9 |         77 |
| src\utils                                                                          |         13 |        593 |        160 |        121 |        874 |
| src\utils\auth                                                                     |          1 |          4 |          0 |          2 |          6 |
| src\utils\http                                                                     |          6 |        434 |        138 |         80 |        652 |
| src\views                                                                          |          4 |        459 |          3 |         11 |        473 |
| src\views\exception                                                                |          1 |         12 |          0 |          3 |         15 |
| src\views\login                                                                    |          1 |        237 |          2 |          3 |        242 |
| types                                                                              |          5 |         55 |         40 |         10 |        105 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Documents\GitHub\ProjectManagementFrontend\.eslintrc.js                         | JavaScript         |         83 |          1 |          1 |         85 |
| d:\Documents\GitHub\ProjectManagementFrontend\.github\workflows\main.yml           | YAML               |         44 |          6 |          3 |         53 |
| d:\Documents\GitHub\ProjectManagementFrontend\.prettierignore                      | Ignore             |          7 |          0 |          3 |         10 |
| d:\Documents\GitHub\ProjectManagementFrontend\.prettierrc.js                       | JavaScript         |         20 |          0 |          1 |         21 |
| d:\Documents\GitHub\ProjectManagementFrontend\README.md                            | Markdown           |         58 |          0 |         24 |         82 |
| d:\Documents\GitHub\ProjectManagementFrontend\index.html                           | HTML               |         13 |          0 |          1 |         14 |
| d:\Documents\GitHub\ProjectManagementFrontend\mock\index.ts                        | TypeScript         |         40 |          0 |          1 |         41 |
| d:\Documents\GitHub\ProjectManagementFrontend\mock\utils.ts                        | TypeScript         |          9 |          0 |          1 |         10 |
| d:\Documents\GitHub\ProjectManagementFrontend\package.json                         | JSON               |         55 |          0 |          1 |         56 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\App.vue                          | Vue                |         11 |          0 |          3 |         14 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\api\project.ts                   | TypeScript         |         30 |          0 |          6 |         36 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\api\user.ts                      | TypeScript         |         20 |          0 |          4 |         24 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\element\index.scss | SCSS               |         10 |          1 |          1 |         12 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\index.css          | CSS                |         37 |          1 |          5 |         43 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\reset.css          | CSS                |         44 |          1 |          2 |         47 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\LogoutSvg.vue         | Vue                |         10 |          0 |          1 |         11 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\login-bg.svg          | XML                |         17 |          0 |          0 |         17 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\login-box.svg         | XML                |         98 |          0 |          0 |         98 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\components\AppLink.vue           | Vue                |         44 |          0 |          2 |         46 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\components\Footer.vue            | Vue                |          7 |          0 |          2 |          9 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\components\forms\index.ts        | TypeScript         |          9 |          0 |          1 |         10 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\composable\fetch.ts              | TypeScript         |         90 |         15 |          4 |        109 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\composable\index.ts              | TypeScript         |         15 |          0 |          1 |         16 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\composable\table.ts              | TypeScript         |         63 |         21 |          4 |         88 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\enums\cacheEnum.ts               | TypeScript         |          9 |          4 |          6 |         19 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\enums\httpEnum.ts                | TypeScript         |         17 |         12 |          3 |         32 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\main.ts                          | TypeScript         |         25 |          5 |          6 |         36 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\router\constant.ts               | TypeScript         |          4 |          0 |          4 |          8 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\router\guard\index.ts            | TypeScript         |         34 |          6 |          4 |         44 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\router\index.ts                  | TypeScript         |          8 |          1 |          2 |         11 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\router\routes\basic.ts           | TypeScript         |         20 |          6 |          2 |         28 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\router\routes\index.ts           | TypeScript         |         20 |          0 |          1 |         21 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\settings\index.json              | JSON               |          3 |          0 |          0 |          3 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\store\index.ts                   | TypeScript         |          9 |          1 |          3 |         13 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\store\modules\app\index.ts       | TypeScript         |         17 |          2 |          5 |         24 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\store\modules\app\types.ts       | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\store\modules\user\index.ts      | TypeScript         |         58 |          5 |          8 |         71 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\store\modules\user\types.ts      | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\auth\index.ts              | TypeScript         |          4 |          0 |          2 |          6 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\file.ts                    | TypeScript         |         30 |          7 |          3 |         40 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\Axios.ts              | TypeScript         |        176 |         27 |         35 |        238 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\axiosCancel.ts        | TypeScript         |         35 |         18 |          8 |         61 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\axiosTransform.ts     | TypeScript         |         19 |         25 |          9 |         53 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\checkStatus.ts        | TypeScript         |         17 |          5 |          4 |         26 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\helper.ts             | TypeScript         |         39 |          3 |          6 |         48 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\http\index.ts              | TypeScript         |        148 |         60 |         18 |        226 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\index.ts                   | TypeScript         |         16 |         10 |          3 |         29 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\is.ts                      | TypeScript         |         74 |          0 |         26 |        100 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\log.ts                     | TypeScript         |          7 |          0 |          3 |         10 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\storage.ts                 | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\utils\uuid.ts                    | TypeScript         |         26 |          5 |          3 |         34 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\views\Home.vue                   | Vue                |        115 |          1 |          3 |        119 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\views\Layout.vue                 | Vue                |         95 |          0 |          2 |         97 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\views\exception\404.vue          | Vue                |         12 |          0 |          3 |         15 |
| d:\Documents\GitHub\ProjectManagementFrontend\src\views\login\Login.vue            | Vue                |        237 |          2 |          3 |        242 |
| d:\Documents\GitHub\ProjectManagementFrontend\tsconfig.json                        | JSON with Comments |         40 |         10 |          0 |         50 |
| d:\Documents\GitHub\ProjectManagementFrontend\types\axios.d.ts                     | TypeScript         |         27 |         16 |          4 |         47 |
| d:\Documents\GitHub\ProjectManagementFrontend\types\global.d.ts                    | TypeScript         |          8 |          0 |          1 |          9 |
| d:\Documents\GitHub\ProjectManagementFrontend\types\module.d.ts                    | TypeScript         |          5 |          1 |          1 |          7 |
| d:\Documents\GitHub\ProjectManagementFrontend\types\typings.d.ts                   | TypeScript         |          8 |          3 |          2 |         13 |
| d:\Documents\GitHub\ProjectManagementFrontend\types\vite-env.d.ts                  | TypeScript         |          7 |         20 |          2 |         29 |
| d:\Documents\GitHub\ProjectManagementFrontend\vite.config.ts                       | TypeScript         |         46 |          3 |          3 |         52 |
| d:\Documents\GitHub\ProjectManagementFrontend\windi.config.ts                      | TypeScript         |         47 |          1 |          2 |         50 |
| Total                                                                              |                    |      2,307 |        305 |        265 |      2,877 |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
